Return_On_Equity,Current_Ratio,Asster_Turnover,WACC,Dividend_Yield,Earnings_Yield,Revenue_Change,Net_Income_Change,Price_Change
0.21214713430282292,2.611353711790393,0.6348601690978352,0.082314226,0.006483209,0.030353161454737817,0.9978095794392523,0.988835726,-0.012634992
0.23638077285579642,2.030091348737238,0.6502088872009115,0.079687884,0.005627769,0.028202100174227123,1.0837157778129451,1.0363636363636364,-0.015849083
-0.153140438,1.453795379537954,0.7453903214411869,0.14407393009814426,0.011896893588896233,-0.107352941,0.8474018151152518,5.2926829268292686,-0.025999533
-0.024231678,1.7476697736351532,0.8437923556519382,0.1314120209119675,0.00885266,-0.01513313,1.0246050032916392,-0.286713287,0.001992014
-0.334682965,0.22308730902301369,0.4359035433461236,0.078394691,,-1.310344865,1.0228051095432156,1.4232834554640825,0.032786853
-0.179207305,0.2813924173814855,0.3986973754696379,0.080834119,,-0.897637809,1.2469169617519096,0.3649708379892534,0.017094103
-0.158016148,0.6151754147402774,0.8371340670493831,0.068305479,,0.091703058,1.0779440893590084,6.472440945,-0.013168093
-0.021900328,0.7103181987346483,0.7567062241176834,0.064202056,0,0.015723270110175623,1.6388126631416906,-0.063723031,0.028524436
0.12028034264100568,,0.004785502,,0,-0.801364036,0.048584743,-0.131922838,0
-1.070941355,17.481142358840202,0.14222593156266877,0.11886644128640876,0,2.0217283333506533,1,2.0581351548178097,-0.067495585
0.014922744219271379,0,0.5117663404746856,0.056047048545123726,0.016154377081473877,0.024489795441728798,0.9413542199104002,0.35622518103246903,0.15238104104455488
0.030300242062200076,1,0.4960500738280726,0.055698105,0.015478133,0.082108906,1.0215308065605995,0.3517955460596598,0.063241141
-0.007592731,2.6196762533396196,1.2103733031004653,0.067760008,0.040269621,-0.015625,1.2188724597725067,-0.048028817,-0.025493377
0.1530760297758457,2.7148820262478335,1.2804751381598805,0.0816338,0.02646127,0.2915579264787257,1.0637407279532936,-0.413422486,0.013704158
-0.359544052,1.3217012310401062,0.5457707409194563,0.10635688346362145,0,-0.123188408,1.0531893271571384,1.225896384919316,-0.030927866
-0.21275877,1.7812439769817452,0.4655315440996878,0.11152767548295109,0,-1.063492072,0.9017231899685879,0.9266064463149251,0.013461571967109238
0.17901461351063108,2.3983183001641857,1.0920072785086183,,0.003898272,0.017056991,1.6627871517650514,1.7082950406753123,-0.014876265
0.12604414698500546,2.513368983957219,0.8221061859792673,0.081210123,0.005085668,0.014964241881026744,1.0388027620197027,0.743687428,-0.011484097
0.18738586429131224,1.1259616389054872,0.9281306907145178,0.057569459908160245,0.091662727,0.13688760061000219,1.014251059898314,0.8145844559720049,0.036808905
0.19694715101632168,1.2114100573576045,0.9019026162336565,0.060001289,0.017526474262126283,0.067083552,1.0882287431796398,1.2496587366461063,-0.016040561
1.5607601454639075,0.9880116717592975,1.087077369016657,0.07553045,0.004963048,0.032035840624887416,0.9719953946968006,0.9718645732092221,-0.039990782
1.9695887275023682,0.8793560286267226,1.1178523337727317,0.069046981,0.007092274,0.047658481978949674,1.077937876041846,1.0541085762568652,0.023505553802740286
0.054004732,1.9382484534086162,0.1478094308906044,0.081454339,,,1.0438095057825898,1.1577214238416522,-0.013397864
0.045753379,1.1034166278277704,0.14145409405528533,0.080282037,0.065721437,0.028921538334120304,1.1245782645252616,1.5269860355805756,0.001862189
-0.169683379,18.404548465032974,0,0.097678667,0,-0.64285714,1,4.439817198812407,0
-0.033276582,19.030222854192587,0,0.096797425,0,-0.083333335,1,0.852649481,0.068965556
0.4694015444015444,0.8721228297349436,0.40321874234472316,0.049918619,0.038878129305802644,0.017939495143785827,0.9356461225755331,0.410865157,0.002098319
